﻿NAME,TYPE EN,SUBTYPE EN,BLOCK,POINT_X_Longitude,POINT_Y_Latitude,location
KOWLOON RESTAURANT,RESTAURANTS,CHINESE RESTAURANTS,337,50.59645121,26.20423944,"26.2042394399999, 50.5964512099999"
MAGIC WOK,RESTAURANTS,CHINESE RESTAURANTS,518,50.49035107,26.22043662,"26.22043662, 50.49035107"
NU ASIA,RESTAURANTS,CHINESE RESTAURANTS,341,50.60813363,26.21075497,"26.21075497, 50.6081336299999"
NU ASIA,RESTAURANTS,CHINESE RESTAURANTS,428,50.54172192,26.23222992,"26.23222992, 50.54172192"
SHATHA RESTAURANT,RESTAURANTS,CHINESE RESTAURANTS,332,50.57640595,26.20735337,"26.20735337, 50.57640595"
TIKI-MING RESTAURANT,RESTAURANTS,CHINESE RESTAURANTS,366,50.54443565,26.19768467,"26.19768467, 50.5444356499999"
WANG’S FUNKY CHINESE RESTAURANT,RESTAURANTS,CHINESE RESTAURANTS,575,50.48091465,26.17844424,"26.17844424, 50.48091465"
A PIECE OF CAKE,RESTAURANTS,COFFEE SHOPS,913,50.55551124,26.12909168,"26.1290916799999, 50.55551124"
AIRPORT COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,243,50.64909901,26.25671067,"26.25671067, 50.64909901"
AL BAREH CAFE,RESTAURANTS,COFFEE SHOPS,336,50.59042551,26.21259849,"26.21259849, 50.59042551"
AL BINDAIRA CAFE,RESTAURANTS,COFFEE SHOPS,326,50.58924716,26.21855094,"26.21855094, 50.5892471599999"
AL BINDAIRA CAFE,RESTAURANTS,COFFEE SHOPS,428,50.54098215,26.2330436,"26.2330435999999, 50.5409821499999"
AL HAKAWATI COFFEE,RESTAURANTS,COFFEE SHOPS,331,50.57575129,26.20609104,"26.20609104, 50.5757512899999"
AL MAWARDI COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,308,50.58668512,26.2255676,"26.2255676, 50.5866851199999"
AL NAJDAIN COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,211,50.6101014,26.25121025,"26.25121025, 50.6101013999999"
AL OSRA CAFE HOUSE,RESTAURANTS,COFFEE SHOPS,515,50.47956738,26.21625546,"26.2162554599999, 50.4795673799999"
AL PESTO CAFE,RESTAURANTS,COFFEE SHOPS,939,50.5891048,26.12611837,"26.12611837, 50.5891048"
AL SAMADI CAFE,RESTAURANTS,COFFEE SHOPS,711,50.56152927,26.20068873,"26.20068873, 50.56152927"
AL TWAHI COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,302,50.57349074,26.2242618,"26.2242618, 50.5734907399999"
ALSHIRAA COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,346,50.56846992,26.23403498,"26.23403498, 50.5684699199999"
AROMA CAFE,RESTAURANTS,COFFEE SHOPS,428,50.53953249,26.23149156,"26.2314915599999, 50.5395324899999"
BAIT AL DONUT‎‏,RESTAURANTS,COFFEE SHOPS,225,50.6062608,26.27116205,"26.27116205, 50.6062608"
BAIT AL DONUT‎‏,RESTAURANTS,COFFEE SHOPS,410,50.5376911,26.22922031,"26.2292203099999, 50.5376911"
BAIT AL DONUT‎‏,RESTAURANTS,COFFEE SHOPS,411,50.53944175,26.20599384,"26.20599384, 50.53944175"
BAIT AL DONUT‎‏,RESTAURANTS,COFFEE SHOPS,428,50.54171206,26.23241665,"26.23241665, 50.54171206"
BUBBLES CAFE,RESTAURANTS,COFFEE SHOPS,311,50.56790907,26.21828132,"26.2182813199999, 50.5679090699999"
BUNO CAFE,RESTAURANTS,COFFEE SHOPS,646,50.58724641,26.1412537,"26.1412537, 50.5872464099999"
CAFE AWAL,RESTAURANTS,COFFEE SHOPS,328,50.5755605,26.21841557,"26.21841557, 50.5755605"
CAFE ITALIA,RESTAURANTS,COFFEE SHOPS,338,50.5923915,26.21273994,"26.2127399399999, 50.5923914999999"
CAFE MAJESTIC,RESTAURANTS,COFFEE SHOPS,319,50.59321702,26.2355739,"26.2355738999999, 50.5932170199999"
CANDLES CAFE,RESTAURANTS,COFFEE SHOPS,327,50.58576505,26.21262608,"26.21262608, 50.5857650499999"
CAPPUCCINO,RESTAURANTS,COFFEE SHOPS,317,50.59064816,26.24307729,"26.2430772899999, 50.59064816"
CAPPUCCINO,RESTAURANTS,COFFEE SHOPS,518,50.48963622,26.22079951,"26.2207995099999, 50.48963622"
CARAMEL COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,509,50.48568175,26.21724351,"26.2172435099999, 50.4856817499999"
CARIBOU COFFEE,RESTAURANTS,COFFEE SHOPS,327,50.58628767,26.2121026,"26.2121026, 50.5862876699999"
CARIBOU COFFEE,RESTAURANTS,COFFEE SHOPS,346,50.55534085,26.23291669,"26.23291669, 50.55534085"
CHAI CAFE,RESTAURANTS,COFFEE SHOPS,412,50.53914256,26.2268107,"26.2268107, 50.53914256"
CINNABON,RESTAURANTS,COFFEE SHOPS,341,50.6089817,26.2107373,"26.2107373, 50.6089817"
COSTA COFFEE,RESTAURANTS,COFFEE SHOPS,304,50.57339744,26.23225458,"26.2322545799999, 50.57339744"
COSTA COFFEE,RESTAURANTS,COFFEE SHOPS,316,50.58162674,26.23868629,"26.23868629, 50.5816267399999"
COSTA COFFEE,RESTAURANTS,COFFEE SHOPS,328,50.57873254,26.21265819,"26.2126581899999, 50.5787325399999"
COSTA COFFEE,RESTAURANTS,COFFEE SHOPS,346,50.55466874,26.23264527,"26.2326452699999, 50.5546687399999"
COSTA COFFEE,RESTAURANTS,COFFEE SHOPS,410,50.53762086,26.2288536,"26.2288536, 50.5376208599999"
COSTA COFFEE,RESTAURANTS,COFFEE SHOPS,1056,50.49919094,26.04909111,"26.0490911099999, 50.4991909399999"
DARSEEN CAFE,RESTAURANTS,COFFEE SHOPS,322,50.5990457,26.23983779,"26.2398377899999, 50.5990456999999"
DERBY CAFE,RESTAURANTS,COFFEE SHOPS,322,50.59951119,26.23227471,"26.2322747099999, 50.59951119"
DERBY CAFE,RESTAURANTS,COFFEE SHOPS,428,50.5361281,26.23115455,"26.2311545499999, 50.5361280999999"
DERBY CAFE,RESTAURANTS,COFFEE SHOPS,623,50.61558798,26.14262192,"26.14262192, 50.61558798"
DERBY CAFE,RESTAURANTS,COFFEE SHOPS,932,50.52840746,26.13476711,"26.1347671099999, 50.5284074599999"
DERBY CAFE,RESTAURANTS,COFFEE SHOPS,934,50.56477074,26.15820595,"26.1582059499999, 50.56477074"
ESPRERANZA CAFE,RESTAURANTS,COFFEE SHOPS,646,50.59012011,26.1272206,"26.1272206, 50.59012011"
ESQUIRES COFFEE HOUSE,RESTAURANTS,COFFEE SHOPS,513,50.49990511,26.20359475,"26.20359475, 50.49990511"
EXTROVERT CAFE,RESTAURANTS,COFFEE SHOPS,326,50.58949728,26.21816181,"26.21816181, 50.58949728"
FEDORA COFFEE,RESTAURANTS,COFFEE SHOPS,923,50.5670607,26.13703685,"26.13703685, 50.5670606999999"
FLORIYAN CAFE,RESTAURANTS,COFFEE SHOPS,428,50.53949453,26.23238597,"26.2323859699999, 50.5394945299999"
FRIENDS COFFEE SHOPS,RESTAURANTS,COFFEE SHOPS,326,50.58984193,26.2198148,"26.2198148, 50.5898419299999"
GLORIA JEAN'S COFFEES,RESTAURANTS,COFFEE SHOPS,720,50.54124864,26.16968864,"26.16968864, 50.5412486399999"
GLORIA JEAN'S COFFEES,RESTAURANTS,COFFEE SHOPS,740,50.5233371,26.16201749,"26.16201749, 50.5233370999999"
GRACIAS CAFE,RESTAURANTS,COFFEE SHOPS,704,50.53628875,26.18455043,"26.18455043, 50.5362887499999"
HAZAWI LAWAL TRADETIONAL COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,311,50.56851013,26.21806308,"26.21806308, 50.56851013"
HOL N ONE,RESTAURANTS,COFFEE SHOPS,203,50.61108219,26.26073448,"26.26073448, 50.6110821899999"
HOL N ONE,RESTAURANTS,COFFEE SHOPS,411,50.54061161,26.20692549,"26.20692549, 50.5406116099999"
HOL N ONE,RESTAURANTS,COFFEE SHOPS,913,50.55902873,26.13069264,"26.1306926399999, 50.55902873"
JASMIS COFFEE,RESTAURANTS,COFFEE SHOPS,304,50.57628882,26.23244465,"26.23244465, 50.57628882"
JOJO JUICE BAR,RESTAURANTS,COFFEE SHOPS,428,50.54242498,26.23525399,"26.23525399, 50.54242498"
JULIO'S,RESTAURANTS,COFFEE SHOPS,428,50.54986729,26.23538321,"26.2353832099999, 50.54986729"
JUST BAKED CAFE,RESTAURANTS,COFFEE SHOPS,319,50.59298676,26.23586662,"26.2358666199999, 50.59298676"
KANAFANY CAFE,RESTAURANTS,COFFEE SHOPS,332,50.57641181,26.21017328,"26.2101732799999, 50.57641181"
KOFFIATTO COFFEE,RESTAURANTS,COFFEE SHOPS,351,50.5529152,26.22913361,"26.22913361, 50.5529152"
KRISPY KREME DONUT,RESTAURANTS,COFFEE SHOPS,504,50.49645676,26.21970911,"26.21970911, 50.49645676"
KURTUS CAFE,RESTAURANTS,COFFEE SHOPS,525,50.49881707,26.19976247,"26.19976247, 50.49881707"
LA BRIOCHE CAFE,RESTAURANTS,COFFEE SHOPS,810,50.54772748,26.1722244,"26.1722244, 50.5477274799999"
LA CAFE,RESTAURANTS,COFFEE SHOPS,224,50.62339297,26.26101399,"26.2610139899999, 50.6233929699999"
LA MAISON DU CAFE,RESTAURANTS,COFFEE SHOPS,326,50.58970757,26.21818952,"26.2181895199999, 50.58970757"
LA MAISON DU CAFE,RESTAURANTS,COFFEE SHOPS,351,50.552785,26.23003437,"26.2300343699999, 50.552785"
LA VIE CAFE & RESTAURANT,RESTAURANTS,COFFEE SHOPS,505,50.49146838,26.21766554,"26.2176655399999, 50.49146838"
LAYALI AL MAHROOSAH COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,336,50.59036041,26.20962571,"26.20962571, 50.59036041"
LAYALI COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,457,50.5082179,26.19432049,"26.1943204899999, 50.5082178999999"
LE CHOCOLAT CAFE & RESTAURANT,RESTAURANTS,COFFEE SHOPS,925,50.57452335,26.12936754,"26.12936754, 50.57452335"
LIGHTHOUSE SEAFRONT CAFE,RESTAURANTS,COFFEE SHOPS,257,50.66530559,26.27790183,"26.27790183, 50.66530559"
LILOU ARTISAN PATISSERIE,RESTAURANTS,COFFEE SHOPS,338,50.59309598,26.21430611,"26.2143061099999, 50.59309598"
LILOU ARTISAN PATISSERIE,RESTAURANTS,COFFEE SHOPS,943,50.56513647,26.1021498,"26.1021497999999, 50.5651364699999"
LION CAFE,RESTAURANTS,COFFEE SHOPS,257,50.66328699,26.28777171,"26.28777171, 50.66328699"
MALMO CAFE,RESTAURANTS,COFFEE SHOPS,941,50.57573776,26.14847738,"26.1484773799999, 50.57573776"
MAMA MOCHA CAFE,RESTAURANTS,COFFEE SHOPS,1014,50.46955282,26.16501292,"26.1650129199999, 50.4695528199999"
MAYA LA CHOCOLATERIE,RESTAURANTS,COFFEE SHOPS,346,50.55535348,26.2323303,"26.2323303, 50.55535348"
MED CAFE,RESTAURANTS,COFFEE SHOPS,336,50.59043745,26.21310225,"26.2131022499999, 50.59043745"
MINT COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,351,50.55292047,26.22948367,"26.22948367, 50.5529204699999"
NAGHAM'S CAFE,RESTAURANTS,COFFEE SHOPS,436,50.53374242,26.23603166,"26.2360316599999, 50.53374242"
NEW YORK COFFEE,RESTAURANTS,COFFEE SHOPS,316,50.57723792,26.23513424,"26.23513424, 50.57723792"
NEW YORK COFFEE,RESTAURANTS,COFFEE SHOPS,327,50.58928498,26.21450506,"26.21450506, 50.58928498"
NEW YORK COFFEE,RESTAURANTS,COFFEE SHOPS,915,50.55924033,26.13621917,"26.13621917, 50.55924033"
NINE BALL CAFE,RESTAURANTS,COFFEE SHOPS,308,50.58808632,26.22511502,"26.22511502, 50.58808632"
O BSIERS,RESTAURANTS,COFFEE SHOPS,305,50.58141432,26.2360231,"26.2360231, 50.58141432"
PAPPA ROTI CAFE,RESTAURANTS,COFFEE SHOPS,240,50.62597346,26.25416859,"26.2541685899999, 50.6259734599999"
RAYA CAFE,RESTAURANTS,COFFEE SHOPS,732,50.53156095,26.15527794,"26.15527794, 50.5315609499999"
SECRET CAFE,RESTAURANTS,COFFEE SHOPS,734,50.52290132,26.15879322,"26.15879322, 50.52290132"
STARBUCKS,RESTAURANTS,COFFEE SHOPS,317,50.58838072,26.24098178,"26.2409817799999, 50.58838072"
STARBUCKS,RESTAURANTS,COFFEE SHOPS,324,50.60473155,26.21895426,"26.21895426, 50.6047315499999"
STARBUCKS,RESTAURANTS,COFFEE SHOPS,332,50.57675404,26.20644092,"26.2064409199999, 50.5767540399999"
STARBUCKS,RESTAURANTS,COFFEE SHOPS,428,50.53902924,26.23274525,"26.23274525, 50.5390292399999"
STARBUCKS,RESTAURANTS,COFFEE SHOPS,513,50.49957721,26.20343682,"26.20343682, 50.4995772099999"
STARBUCKS,RESTAURANTS,COFFEE SHOPS,575,50.48103901,26.17876123,"26.1787612299999, 50.48103901"
SUNSET CAFE,RESTAURANTS,COFFEE SHOPS,319,50.597139,26.23560112,"26.2356011199999, 50.5971389999999"
TALK OF THE TOWN COFFEE,RESTAURANTS,COFFEE SHOPS,304,50.57761103,26.23333628,"26.23333628, 50.57761103"
TEA LOUNGE,RESTAURANTS,COFFEE SHOPS,428,50.53852436,26.24213122,"26.24213122, 50.5385243599999"
THE CREPE CAFE,RESTAURANTS,COFFEE SHOPS,428,50.53746461,26.23162906,"26.2316290599999, 50.53746461"
THE CREPE CAFE,RESTAURANTS,COFFEE SHOPS,504,50.49199983,26.21902932,"26.21902932, 50.4919998299999"
THEKRIYAT ZAMAN COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,321,50.59085463,26.22880577,"26.22880577, 50.59085463"
VERANDA CAFE,RESTAURANTS,COFFEE SHOPS,257,50.66336067,26.28795345,"26.28795345, 50.66336067"
WADI ALSAIL COFFEE SHOP,RESTAURANTS,COFFEE SHOPS,243,50.64066423,26.25981402,"26.25981402, 50.6406642299999"
WENDYS CAFE,RESTAURANTS,COFFEE SHOPS,315,50.57165069,26.23332046,"26.23332046, 50.5716506899999"
MUSHROOMS BUSTRO RESTAURANT,RESTAURANTS,EUROPEAN RESTAURANTS,504,50.49402082,26.21924946,"26.21924946, 50.49402082"
AL ARABI SANDWICHES,RESTAURANTS,FAST FOOD RESTAURANTS,216,50.6163326,26.24440187,"26.24440187, 50.6163326"
AL DIYAFA JUICE,RESTAURANTS,FAST FOOD RESTAURANTS,216,50.61628744,26.24436563,"26.24436563, 50.61628744"
APPLE SHAWARMA AND SANDWICHES,RESTAURANTS,FAST FOOD RESTAURANTS,205,50.61244685,26.26097882,"26.2609788199999, 50.6124468499999"
ASMAK ALHADRAH SANDWICHES,RESTAURANTS,FAST FOOD RESTAURANTS,216,50.61727357,26.24785068,"26.2478506799999, 50.61727357"
BARGER LINE,RESTAURANTS,FAST FOOD RESTAURANTS,242,50.63181209,26.25466541,"26.25466541, 50.6318120899999"
BURGER KING,RESTAURANTS,FAST FOOD RESTAURANTS,224,50.62661767,26.26550655,"26.26550655, 50.62661767"
BURGER KING,RESTAURANTS,FAST FOOD RESTAURANTS,328,50.57765967,26.21228524,"26.21228524, 50.57765967"
BURGER KING,RESTAURANTS,FAST FOOD RESTAURANTS,341,50.60950559,26.21072231,"26.21072231, 50.6095055899999"
BURGER KING,RESTAURANTS,FAST FOOD RESTAURANTS,346,50.55364035,26.23336529,"26.2333652899999, 50.55364035"
BURGER KING,RESTAURANTS,FAST FOOD RESTAURANTS,410,50.53806168,26.22921803,"26.2292180299999, 50.5380616799999"
BURGER KING,RESTAURANTS,FAST FOOD RESTAURANTS,428,50.53807598,26.23212657,"26.2321265699999, 50.53807598"
BURGER KING,RESTAURANTS,FAST FOOD RESTAURANTS,469,50.50997373,26.21914457,"26.21914457, 50.5099737299999"
BURGER KING,RESTAURANTS,FAST FOOD RESTAURANTS,611,50.601351,26.16910685,"26.1691068499999, 50.601351"
BURGER LAND,RESTAURANTS,FAST FOOD RESTAURANTS,336,50.58675725,26.21230683,"26.2123068299999, 50.5867572499999"
BURGER LAND,RESTAURANTS,FAST FOOD RESTAURANTS,912,50.54487223,26.13096126,"26.1309612599999, 50.54487223"
BURGER LINE,RESTAURANTS,FAST FOOD RESTAURANTS,913,50.56017794,26.1314402,"26.1314402, 50.56017794"
BURGER ZONE,RESTAURANTS,FAST FOOD RESTAURANTS,913,50.55811992,26.1328778,"26.1328777999999, 50.55811992"
CHICKEYS RESTAURANT,RESTAURANTS,FAST FOOD RESTAURANTS,331,50.57576083,26.20498496,"26.20498496, 50.57576083"
CHICKEYS RESTAURANT,RESTAURANTS,FAST FOOD RESTAURANTS,914,50.55347939,26.13181564,"26.1318156399999, 50.55347939"
DAIRY QUEEN,RESTAURANTS,FAST FOOD RESTAURANTS,312,50.56714564,26.21845272,"26.2184527199999, 50.56714564"
DAIRY QUEEN,RESTAURANTS,FAST FOOD RESTAURANTS,410,50.53843947,26.22876858,"26.22876858, 50.53843947"
DAIRY QUEEN,RESTAURANTS,FAST FOOD RESTAURANTS,646,50.58988566,26.12740072,"26.12740072, 50.58988566"
